"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähköntuotantoennuste - päivittyvä tuntienergiatieto"
"2021-01-05 02:00:00","2021-01-05 03:00:00","2021-01-05 04:00:00","2021-01-05 05:00:00","7247.502891"
"2021-01-05 03:00:00","2021-01-05 04:00:00","2021-01-05 05:00:00","2021-01-05 06:00:00","7336.274271"
"2021-01-05 04:00:00","2021-01-05 05:00:00","2021-01-05 06:00:00","2021-01-05 07:00:00","7742.601242"
"2021-01-05 05:00:00","2021-01-05 06:00:00","2021-01-05 07:00:00","2021-01-05 08:00:00","8335.643839"
"2021-01-05 06:00:00","2021-01-05 07:00:00","2021-01-05 08:00:00","2021-01-05 09:00:00","8755.35503"
"2021-01-05 07:00:00","2021-01-05 08:00:00","2021-01-05 09:00:00","2021-01-05 10:00:00","9055.651292"
"2021-01-05 08:00:00","2021-01-05 09:00:00","2021-01-05 10:00:00","2021-01-05 11:00:00","9131.724669"
"2021-01-05 09:00:00","2021-01-05 10:00:00","2021-01-05 11:00:00","2021-01-05 12:00:00","9151.335861"
"2021-01-05 10:00:00","2021-01-05 11:00:00","2021-01-05 12:00:00","2021-01-05 13:00:00","9109.792927"
"2021-01-05 11:00:00","2021-01-05 12:00:00","2021-01-05 13:00:00","2021-01-05 14:00:00","9053.84953"
"2021-01-05 12:00:00","2021-01-05 13:00:00","2021-01-05 14:00:00","2021-01-05 15:00:00","8941.151104"
"2021-01-05 13:00:00","2021-01-05 14:00:00","2021-01-05 15:00:00","2021-01-05 16:00:00","8970.958445"
"2021-01-05 14:00:00","2021-01-05 15:00:00","2021-01-05 16:00:00","2021-01-05 17:00:00","9076.22453"
"2021-01-05 15:00:00","2021-01-05 16:00:00","2021-01-05 17:00:00","2021-01-05 18:00:00","9145.249191"
"2021-01-05 16:00:00","2021-01-05 17:00:00","2021-01-05 18:00:00","2021-01-05 19:00:00","9159.478147"
"2021-01-05 17:00:00","2021-01-05 18:00:00","2021-01-05 19:00:00","2021-01-05 20:00:00","9087.250637"
"2021-01-05 18:00:00","2021-01-05 19:00:00","2021-01-05 20:00:00","2021-01-05 21:00:00","8811.973998"
"2021-01-05 19:00:00","2021-01-05 20:00:00","2021-01-05 21:00:00","2021-01-05 22:00:00","8605.525914"
"2021-01-05 20:00:00","2021-01-05 21:00:00","2021-01-05 22:00:00","2021-01-05 23:00:00","8396.024335"
"2021-01-05 21:00:00","2021-01-05 22:00:00","2021-01-05 23:00:00","2021-01-06 00:00:00","8147.75574"
"2021-01-05 22:00:00","2021-01-05 23:00:00","2021-01-06 00:00:00","2021-01-06 01:00:00","7832.076198"
"2021-01-05 23:00:00","2021-01-06 00:00:00","2021-01-06 01:00:00","2021-01-06 02:00:00","7650.710094"
"2021-01-06 00:00:00","2021-01-06 01:00:00","2021-01-06 02:00:00","2021-01-06 03:00:00","7618.226309"
"2021-01-06 01:00:00","2021-01-06 02:00:00","2021-01-06 03:00:00","2021-01-06 04:00:00","7598.466075"
"2021-01-06 02:00:00","2021-01-06 03:00:00","2021-01-06 04:00:00","2021-01-06 05:00:00","7597.237914"
"2021-01-06 03:00:00","2021-01-06 04:00:00","2021-01-06 05:00:00","2021-01-06 06:00:00","7647.767847"
"2021-01-06 04:00:00","2021-01-06 05:00:00","2021-01-06 06:00:00","2021-01-06 07:00:00","7794.004821"
"2021-01-06 05:00:00","2021-01-06 06:00:00","2021-01-06 07:00:00","2021-01-06 08:00:00","8070.907946"
"2021-01-06 06:00:00","2021-01-06 07:00:00","2021-01-06 08:00:00","2021-01-06 09:00:00","8153.020501"
"2021-01-06 07:00:00","2021-01-06 08:00:00","2021-01-06 09:00:00","2021-01-06 10:00:00","8536.383121"
"2021-01-06 08:00:00","2021-01-06 09:00:00","2021-01-06 10:00:00","2021-01-06 11:00:00","8726.631818"
"2021-01-06 09:00:00","2021-01-06 10:00:00","2021-01-06 11:00:00","2021-01-06 12:00:00","8801.855455"
"2021-01-06 10:00:00","2021-01-06 11:00:00","2021-01-06 12:00:00","2021-01-06 13:00:00","8815.260449"
"2021-01-06 11:00:00","2021-01-06 12:00:00","2021-01-06 13:00:00","2021-01-06 14:00:00","8740.306532"
"2021-01-06 12:00:00","2021-01-06 13:00:00","2021-01-06 14:00:00","2021-01-06 15:00:00","8832.542964"
"2021-01-06 13:00:00","2021-01-06 14:00:00","2021-01-06 15:00:00","2021-01-06 16:00:00","8912.490753"
"2021-01-06 14:00:00","2021-01-06 15:00:00","2021-01-06 16:00:00","2021-01-06 17:00:00","9063.002782"
"2021-01-06 15:00:00","2021-01-06 16:00:00","2021-01-06 17:00:00","2021-01-06 18:00:00","9121.7459"
"2021-01-06 16:00:00","2021-01-06 17:00:00","2021-01-06 18:00:00","2021-01-06 19:00:00","9130.498317"
"2021-01-06 17:00:00","2021-01-06 18:00:00","2021-01-06 19:00:00","2021-01-06 20:00:00","9021.404211"
"2021-01-06 18:00:00","2021-01-06 19:00:00","2021-01-06 20:00:00","2021-01-06 21:00:00","8768.093325"
"2021-01-06 19:00:00","2021-01-06 20:00:00","2021-01-06 21:00:00","2021-01-06 22:00:00","8632.301293"
"2021-01-06 20:00:00","2021-01-06 21:00:00","2021-01-06 22:00:00","2021-01-06 23:00:00","8373.038606"
